id,name
1,Aaren
2,Abagael
3,Abagail
4,Abbe
5,Abbi
6,Abbie
7,Abby
8,Abbye
9,Abigael
10,Abigail
11,Abra
12,Ada
13,Adah
14,Adara
15,Addi
16,Addia
17,Addie
18,Adela
19,Adelaida
20,Adelaide
21,Adele
22,Adelheid
23,Adelind
24,Adena
25,Adina
26,Adoree
27,Adorne
28,Adriaens
29,Adrian
30,Adriana
31,Adriena
32,Adrienne
33,Afton
34,Ag
35,Agata
36,Agatha
37,Agretha
38,Aigneis
39,Aileen
40,Aili
41,Ailyn
42,Aime
43,Aimee
44,Ainsley
45,Ainslie
46,Ajay
47,Alanah
48,Alayne
49,Alberta
50,Albertina
51,Albertine
52,Albina
53,Aleda
54,Aleece
55,Alejandra
56,Alejandrina
57,Alena
58,Alene
59,Aleta
60,Alex
61,Alexandra
62,Alexi
63,Alexina
64,Alexine
65,Alfi
66,Alfie
67,Alfy
68,Alia
69,Alicia
70,Alidia
71,Alina
72,Aline
73,Alisa
74,Alisun
75,Alix
76,Aliza
77,Alleen
78,Allie
79,Allina
80,Allison
81,Allissa
82,Allx
83,Ally
84,Allyn
85,Allyson
86,Almeda
87,Almeria
88,Almeta
89,Almira
90,Aloisia
91,Aloysia
92,Althea
93,Alverta
94,Alyda
95,Alys
96,Amabel
97,Amabelle
98,Amaleta
99,Amalia
100,Amalie
101,Amalita
102,Amandie
103,Amara
104,Amargo
105,Amberly
106,Ambur
107,Amelie
108,Amelita
109,Amii
110,Amitie
111,Amity
112,Ammamaria
113,Ana
114,Anabal
115,Anabel
116,Analiese
117,Anallese
118,Andee
119,Anderea
120,Andie
121,Andra
122,Andrea
123,Andreana
124,Anett
125,Anette
126,Angel
127,Angele
128,Angelia
129,Angelica
130,Angelina
131,Angil
132,Angy
133,Anissa
134,Anita
135,Anitra
136,Anjanette
137,Anjela
138,Ann
139,Ann-marie
140,Anna-diana
141,Anna-maria
142,Annabal
143,Annabela
144,Annabella
145,Annabelle
146,Annadiana
147,Annadiane
148,Annalee
149,Annalise
150,Annamarie
151,Anne
152,Anne-corinne
153,Anne-marie
154,Annecorinne
155,Anneliese
156,Annelise
157,Annemarie
158,Annetta
159,Annette
160,Anni
161,Annis
162,Annmaria
163,Annora
164,Anny
165,Anselma
166,Anstice
167,Anthia
168,Antoinette
169,Antonella
170,Antonetta
171,Antonia
172,Antonie
173,Antonina
174,Anya
175,Appolonia
176,April
177,Ara
178,Arabela
179,Arabella
180,Ardath
181,Ardelis
182,Ardenia
183,Ardine
184,Ardis
185,Ardith
186,Ardra
187,Ardyce
188,Aretha
189,Ariadne
190,Ariel
191,Ariela
192,Arlen
193,Arlena
194,Arlene
195,Ashely
196,Ashlan
197,Ashlee
198,Ashli
199,Asia
200,Astrid
201,Astrix
202,Athene
203,Atlanta
204,Atlante
205,Aubrette
206,Aubrie
207,Audie
208,Audrey
209,Audry
210,Augusta
211,Augustine
212,Aurea
213,Aurelea
214,Aurelia
215,Aurlie
216,Auroora
217,Aurora
218,Austina
219,Austine
220,Averil
221,Averyl
222,Avie
223,Avis
224,Avril
225,Avrit
226,Babb
227,Babette
228,Babita
229,Babs
230,Bambie
231,Bamby
232,Barbabra
233,Barbara
234,Barbee
235,Barbey
236,Barbi
237,Barbie
238,Barbra
239,Barby
240,Bari
241,Bathsheba
242,Batsheva
243,Beatrisa
244,Beatriz
245,Bebe
246,Becca
247,Beilul
248,Beitris
249,Belia
250,Bellanca
251,Bellina
252,Bendite
253,Benedetta
254,Benita
255,Benoite
256,Berenice
257,Berna
258,Bernadette
259,Bernardina
260,Bernardine
261,Bernelle
262,Bernete
263,Bernetta
264,Berni
265,Bernice
266,Bernie
267,Berny
268,Berrie
269,Berry
270,Bertine
271,Beryl
272,Bessie
273,Bethena
274,Bethina
275,Betta
276,Bette
277,Bette-ann
278,Betteann
279,Betti
280,Betty
281,Beverie
282,Beverley
283,Beverly
284,Bianca
285,Bibbie
286,Bibby
287,Biddy
288,Bidget
289,Bill
290,Billie
291,Billy
292,Binni
293,Binny
294,Birdie
295,Birgit
296,Blanca
297,Blanch
298,Blancha
299,Blanche
300,Blinni
301,Blinny
302,Bliss
303,Blisse
304,Blithe
305,Blondell
306,Blondelle
307,Blondy
308,Blythe
309,Bobbe
310,Bobbee
311,Bobby
312,Bobette
313,Bobine
314,Bonita
315,Brana
316,Brandais
317,Brande
318,Brandise
319,Breanne
320,Brear
321,Brena
322,Brenna
323,Bria
324,Briana
325,Brianna
326,Bridie
327,Brier
328,Brigid
329,Brigida
330,Brigit
331,Brigitte
332,Brina
333,Briny
334,Britney
335,Britt
336,Britta
337,Brittan
338,Brittaney
339,Britteny
340,Brittney
341,Brook
342,Brooks
343,Brunhilde
344,Bryn
345,Bryna
346,Brynn
347,Bunni
348,Bunnie
349,Cacilie
350,Cahra
351,Caitlin
352,Cal
353,Calida
354,Calley
355,Calli
356,Callie
357,Cally
358,Cam
359,Camala
360,Camilla
361,Camille
362,Cammi
363,Cammie
364,Candie
365,Candis
366,Candra
367,Caren
368,Caressa
369,Caresse
370,Caria
371,Carilyn
372,Carin
373,Carina
374,Cariotta
375,Carlen
376,Carlina
377,Carline
378,Carlota
379,Carly
380,Carlye
381,Carlyn
382,Carlynn
383,Carma
384,Carmela
385,Carmelia
386,Carmelita
387,Carmelle
388,Carmen
389,Carmina
390,Carola
391,Carolann
392,Carole
393,Carolin
394,Caroljean
395,Carolyn
396,Carolynn
397,Caron
398,Carree
399,Carroll
400,Cary
401,Caryn
402,Casi
403,Cass
404,Cassandre
405,Cassaundra
406,Cassie
407,Catarina
408,Caterina
409,Cathe
410,Cathee
411,Catherin
412,Cathrin
413,Cathryn
414,Cathy
415,Cayla
416,Cecelia
417,Cecile
418,Cecilia
419,Cecilla
420,Celeste
421,Celestia
422,Celestina
423,Celinda
424,Celinka
425,Cesya
426,Chandal
427,Channa
428,Chantal
429,Charil
430,Charin
431,Charis
432,Charissa
433,Charla
434,Charlean
435,Charlena
436,Charlot
437,Charlotta
438,Charlotte
439,Charmian
440,Charmine
441,Charo
442,Charyl
443,Chelsy
444,Cheri
445,Cherie
446,Cherilyn
447,Cherilynn
448,Cherise
449,Cherrita
450,Cherry
451,Chery
452,Cherye
453,Chiarra
454,Chickie
455,Chicky
456,Chiquia
457,Chiquita
458,Chloe
459,Chloris
460,Chrissie
461,Chrissy
462,Christa
463,Christal
464,Christean
465,Christel
466,Christen
467,Christi
468,Christian
469,Christiana
470,Christiane
471,Christy
472,Chrysa
473,Chrysler
474,Chrystel
475,Cicely
476,Cindi
477,Cindie
478,Cindy
479,Cinnamon
480,Cissy
481,Clair
482,Clara
483,Clarabelle
484,Clarette
485,Clarey
486,Clarie
487,Clarinda
488,Clarine
489,Clarita
490,Clary
491,Claude
492,Claudelle
493,Claudetta
494,Claudette
495,Claudia
496,Claudina
497,Clemence
498,Clementia
499,Clemmie
500,Cleo
501,Clerissa
502,Cloe
503,Clotilda
504,Codie
